User ID,Vehicle Model,Battery Capacity (kWh),Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Time of Day,State of Charge (Start %),State of Charge (End %),Temperature (C),Vehicle Age (years),Charger Type
274c1a6a-9ee,Tesla Model Y,82.3,2023-12-20 15:38:05,2023-12-20 17:15:17,62.63,1.62,Afternoon,25.4,96.0,10.0,4.9,DC_CCS
5aed6783-81f,Rivian R1T,135.5,2023-12-06 06:20:10,2023-12-06 08:02:10,79.84,1.7,Morning,26.3,80.7,7.0,3.2,DC_CCS
6ba87ced-d35,Tesla Model 3 LR,77.4,2023-08-10 13:58:47,2023-08-10 21:31:47,28.86,7.55,Afternoon,62.3,96.6,34.3,7.1,AC_L2
4034e6e3-bff,Rivian R1T,123.5,2023-04-23 14:06:47,2023-04-23 15:51:47,77.53,1.75,Afternoon,30.5,85.7,23.6,4.7,DC_CCS
b74ad12f-ba2,Ford Mustang Mach-E,70.8,2023-11-13 18:19:44,2023-11-13 22:17:20,18.29,3.96,Evening,70.6,94.7,12.8,3.3,AC_L2
baff847d-9a5,Tesla Model Y,78.3,2023-02-14 12:17:45,2023-02-14 12:47:09,56.13,0.49,Afternoon,17.2,79.0,16.3,4.5,Tesla_SC
37fd4cc3-bd3,Chevy Bolt,66.4,2023-09-04 13:29:10,2023-09-04 15:12:58,59.51,1.73,Afternoon,21.0,99.7,28.5,8.0,DC_CCS
465ad542-410,Tesla Model Y,80.1,2023-02-02 18:39:05,2023-02-03 01:51:41,29.86,7.21,Evening,63.0,98.9,4.8,3.1,AC_L2
2cd07cb0-58f,Tesla Model Y,79.4,2023-06-20 10:21:38,2023-06-20 10:48:38,49.11,0.45,Morning,24.9,80.4,32.7,3.7,Tesla_SC
d83abb01-baa,Nissan Leaf,44.0,2023-06-30 13:24:53,2023-06-30 19:59:05,23.24,6.57,Afternoon,44.6,94.2,35.4,14.5,AC_L2
b323bc12-249,Tesla Model 3 LR,79.3,2023-02-10 12:29:44,2023-02-11 03:32:44,40.71,15.05,Afternoon,49.3,98.7,13.8,7.9,AC_L2
eeda20e0-df6,Tesla Model S,93.3,2023-11-05 15:00:05,2023-11-05 15:32:29,51.56,0.54,Afternoon,28.4,77.6,16.7,13.4,Tesla_SC
99046ef5-49e,Tesla Model 3 LR,84.1,2023-05-16 06:03:50,2023-05-16 06:38:02,52.93,0.57,Morning,26.7,82.9,19.5,8.5,Tesla_SC
835c7ecf-d34,Hyundai Kona Electric,67.6,2023-06-27 00:02:14,2023-06-27 00:53:50,38.31,0.86,Night,30.6,80.9,15.8,7.1,DC_CCS
f87e3337-ad8,Nissan Leaf,56.1,2023-01-06 19:41:40,2023-01-06 20:47:04,40.73,1.09,Evening,19.6,86.0,1.6,14.5,DC_CHAdeMO
624c41cd-858,Hyundai Kona Electric,63.2,2023-09-03 03:16:22,2023-09-03 11:15:10,34.77,7.98,Night,43.4,96.5,16.1,6.4,AC_L2
f2e471b5-981,Nissan Leaf,50.1,2023-09-30 06:01:09,2023-09-30 10:59:21,21.45,4.97,Morning,50.4,89.7,22.4,15.6,AC_L2
2bf55d49-5cf,Hyundai Kona Electric,66.0,2023-03-24 19:42:23,2023-03-25 07:05:11,33.56,11.38,Evening,47.2,96.1,7.7,7.7,AC_L2
54f185a5-5bd,Volkswagen ID.4,83.2,2023-01-12 13:59:14,2023-01-13 11:28:02,56.64,21.48,Afternoon,30.7,94.3,10.1,3.5,AC_L2
812c772b-153,Hyundai Kona Electric,67.3,2023-06-16 17:13:30,2023-06-17 02:53:42,31.58,9.67,Evening,44.5,87.7,28.6,6.3,AC_L2
cfd6e579-aee,Tesla Model 3 LR,79.9,2023-04-15 14:33:02,2023-04-15 15:04:50,44.95,0.53,Afternoon,29.9,78.7,19.5,8.4,Tesla_SC
49c10b34-895,Hyundai Kona Electric,66.8,2023-11-15 19:57:44,2023-11-15 20:58:20,43.95,1.01,Evening,20.1,79.6,9.5,6.9,DC_CCS
1f9f77a5-000,Tesla Model Y,83.8,2023-11-15 18:50:40,2023-11-15 19:30:52,57.24,0.67,Evening,25.5,85.0,11.8,4.0,Tesla_SC
041cdf65-216,Tesla Model 3 LR,80.0,2023-03-26 06:44:00,2023-03-26 14:23:00,38.37,7.65,Morning,55.0,99.5,7.3,7.3,AC_L2
6487df60-34b,Nissan Leaf,58.9,2023-09-22 15:36:57,2023-09-22 21:03:21,19.16,5.44,Afternoon,57.2,87.7,27.8,15.9,AC_L2
f4ae8150-a64,Nissan Leaf,44.3,2023-12-30 16:25:52,2023-12-30 21:03:04,25.6,4.62,Afternoon,44.8,97.7,12.5,15.3,AC_L2
e5684e96-ec0,Chevy Bolt,62.7,2023-06-21 01:58:17,2023-06-21 09:12:41,39.43,7.24,Night,41.7,99.3,16.1,8.8,AC_L2
8ea598c2-c29,Volkswagen ID.4,74.8,2023-08-07 08:46:23,2023-08-07 17:04:23,25.33,8.3,Morning,54.2,85.6,33.4,6.0,AC_L2
20a7063b-6d2,Tesla Model Y,75.2,2023-12-05 19:55:58,2023-12-06 05:57:10,36.89,10.02,Evening,42.1,87.3,7.6,5.3,AC_L2
6795332a-85b,Tesla Model Y,75.5,2023-09-03 14:18:24,2023-09-03 15:20:48,45.35,1.04,Afternoon,30.8,83.8,32.4,3.7,DC_CCS
b241fe11-3f9,Tesla Model 3 LR,83.9,2023-03-08 16:48:42,2023-03-08 18:07:18,64.37,1.31,Afternoon,11.5,79.4,14.6,6.7,DC_CCS
45e74780-9bb,Hyundai Kona Electric,67.9,2023-10-08 15:48:53,2023-10-09 08:42:17,51.54,16.89,Afternoon,27.0,97.1,20.6,7.3,AC_L2
835c7ecf-d34,Ford Mustang Mach-E,83.2,2023-09-18 14:34:16,2023-09-19 04:59:28,45.65,14.42,Afternoon,45.9,98.0,29.9,3.2,AC_L2
f4a288db-a17,Nissan Leaf,49.9,2023-01-30 19:50:22,2023-01-30 20:45:34,32.04,0.92,Evening,25.3,83.4,5.9,15.9,DC_CHAdeMO
041cdf65-216,Volkswagen ID.4,77.3,2023-08-22 12:13:23,2023-08-22 13:05:35,40.15,0.87,Afternoon,32.2,79.1,32.4,5.1,DC_CCS
18a83772-906,Chevy Bolt,63.3,2023-11-23 06:45:26,2023-11-23 07:51:26,42.93,1.1,Morning,19.8,80.6,10.2,7.5,DC_CCS
e9f61f0e-2f4,Chevy Bolt,63.7,2023-11-24 07:56:25,2023-11-24 08:39:01,32.14,0.71,Morning,34.8,79.4,11.6,9.9,DC_CCS
a6276e1c-add,Chevy Bolt,64.8,2023-09-04 19:14:32,2023-09-05 04:24:44,30.0,9.17,Evening,50.1,93.1,23.5,9.8,AC_L2
6b83b4bb-c42,Hyundai Kona Electric,66.1,2023-05-27 18:57:35,2023-05-28 03:04:47,27.9,8.12,Evening,55.3,95.9,19.7,5.1,AC_L2
1b993e1d-e0b,Hyundai Kona Electric,68.8,2023-05-26 17:53:51,2023-05-26 19:25:39,55.33,1.53,Evening,21.8,95.6,19.1,6.0,DC_CCS
44f409e1-874,Tesla Model Y,80.7,2023-10-27 18:37:54,2023-10-27 19:13:18,48.89,0.59,Evening,26.1,80.7,17.3,3.3,Tesla_SC
0ececf84-fba,Tesla Model 3 LR,79.0,2023-03-02 19:24:14,2023-03-02 19:50:02,37.3,0.43,Evening,35.6,78.1,7.0,6.4,Tesla_SC
37fd4cc3-bd3,Tesla Model 3 LR,76.2,2023-11-21 22:07:24,2023-11-21 22:38:00,49.29,0.51,Night,25.5,80.9,5.4,8.3,Tesla_SC
0bccf566-279,Hyundai Kona Electric,64.5,2023-04-01 18:57:09,2023-04-02 10:52:21,42.46,15.92,Evening,29.1,92.7,12.8,5.6,AC_L2
025db22a-46e,BMW i3,43.7,2023-04-07 06:48:04,2023-04-07 16:18:04,27.91,9.5,Morning,35.6,95.6,16.4,10.8,AC_L2
72d2e12a-0c4,Nissan Leaf,52.5,2023-08-03 10:09:26,2023-08-03 11:07:38,32.57,0.97,Morning,33.9,91.4,33.2,13.2,DC_CHAdeMO
c7dfd16d-9cc,Tesla Model 3 LR,76.5,2023-01-29 12:07:13,2023-01-29 13:21:01,51.8,1.23,Afternoon,19.0,80.3,16.0,7.7,DC_CCS
92ecd540-19f,Volkswagen ID.4,79.6,2023-08-18 20:56:10,2023-08-18 22:19:34,52.37,1.39,Evening,25.7,84.4,22.9,4.3,DC_CCS
60b59c83-f03,Porsche Taycan,79.5,2023-09-24 14:35:54,2023-09-24 16:11:18,59.3,1.59,Afternoon,24.1,90.0,29.0,6.5,DC_CCS
b74ad12f-ba2,BMW i3,41.7,2023-04-19 16:27:52,2023-04-19 17:02:04,21.23,0.57,Afternoon,35.5,80.9,18.0,12.8,DC_CCS
339c3174-9ca,Ford Mustang Mach-E,85.4,2023-09-05 17:52:39,2023-09-05 18:59:15,49.53,1.11,Evening,28.2,79.2,22.4,3.4,DC_CCS
835c7ecf-d34,BMW i3,41.0,2023-08-10 14:28:30,2023-08-10 15:18:18,31.19,0.83,Afternoon,23.3,92.8,36.9,12.4,DC_CCS
c722e27c-6c1,Tesla Model 3 LR,74.2,2023-07-08 16:36:01,2023-07-08 22:11:25,24.55,5.59,Afternoon,58.4,89.5,33.3,6.1,AC_L2
60817a6b-0ed,Tesla Model 3 LR,79.9,2023-02-17 20:23:01,2023-02-17 21:39:13,52.03,1.27,Evening,24.3,83.1,4.0,8.2,DC_CCS
ed23f97c-65e,Tesla Model 3 LR,74.7,2023-02-28 12:23:11,2023-02-28 22:18:23,37.24,9.92,Afternoon,50.3,97.6,14.2,6.9,AC_L2
7ce2c18c-2c1,Volkswagen ID.4,77.8,2023-02-03 13:22:18,2023-02-03 23:39:06,27.85,10.28,Afternoon,57.4,92.0,16.3,5.2,AC_L2
6e79e2a7-84e,Tesla Model 3 LR,77.7,2023-11-12 14:48:27,2023-11-12 15:16:03,48.15,0.46,Afternoon,22.0,77.6,17.8,8.6,Tesla_SC
ecb33e5e-628,Chevy Bolt,64.4,2023-12-12 20:42:57,2023-12-13 00:18:21,17.94,3.59,Evening,68.9,95.6,1.7,9.3,AC_L2
d83abb01-baa,Chevy Bolt,61.7,2023-03-01 20:49:03,2023-03-01 21:38:51,35.25,0.83,Evening,31.2,83.3,7.6,7.6,DC_CCS
f07f4841-fee,Tesla Model Y,77.0,2023-06-06 13:46:30,2023-06-06 15:10:30,49.92,1.4,Afternoon,36.2,94.7,34.0,3.9,DC_CCS
26088667-73d,BMW i3,42.2,2023-06-04 12:41:10,2023-06-04 13:29:10,28.99,0.8,Afternoon,17.9,80.6,34.9,11.1,DC_CCS
7fc4af70-a9a,Tesla Model 3 LR,79.7,2023-07-25 12:43:38,2023-07-25 19:42:26,28.93,6.98,Afternoon,55.7,89.7,38.5,6.8,AC_L2
8151a0b7-93f,Nissan Leaf,60.4,2023-06-10 18:39:49,2023-06-12 07:50:01,23.28,37.17,Evening,55.2,92.3,23.2,14.4,AC_L1
45596536-ef2,Audi e-tron,95.1,2023-01-13 18:28:52,2023-01-13 19:57:04,64.66,1.47,Evening,20.4,81.2,4.0,6.6,DC_CCS
445ac149-efa,Tesla Model 3 LR,75.2,2023-11-16 10:19:28,2023-11-16 10:53:04,52.32,0.56,Morning,17.9,80.1,17.2,6.4,Tesla_SC
7c1a59d3-dbf,Hyundai Kona Electric,62.0,2023-05-19 17:40:17,2023-05-19 18:46:17,42.03,1.1,Evening,19.8,80.2,20.6,5.1,DC_CCS
c5b6441b-63e,Rivian R1T,123.9,2023-06-07 04:08:09,2023-06-08 05:53:09,75.27,25.75,Night,41.3,97.4,23.4,3.2,AC_L2
a57d011e-14f,Kia Niro EV,65.1,2023-09-05 22:02:28,2023-09-05 22:57:40,38.34,0.92,Night,26.5,79.5,15.9,7.7,DC_CCS
2872dd43-31f,BMW i3,41.7,2023-09-05 09:34:26,2023-09-05 17:00:14,20.5,7.43,Morning,48.6,94.2,31.0,12.5,AC_L2
affd4e0e-c70,Tesla Model Y,76.1,2023-07-30 18:06:26,2023-07-30 19:13:38,43.94,1.12,Evening,27.9,79.2,28.0,5.7,DC_CCS
812c772b-153,Ford Mustang Mach-E,78.5,2023-04-04 10:04:55,2023-04-05 02:13:55,37.25,16.15,Morning,51.0,95.7,21.8,4.8,AC_L2
45e74780-9bb,Tesla Model 3 LR,72.7,2023-03-18 09:01:36,2023-03-18 17:23:48,43.32,8.37,Morning,35.0,91.4,14.7,8.2,AC_L2
812c772b-153,Tesla Model Y,80.0,2023-02-03 11:25:10,2023-02-03 12:23:22,41.95,0.97,Morning,30.8,78.6,13.6,5.0,DC_CCS
9693d643-ae4,Tesla Model 3 LR,75.3,2023-10-25 16:09:04,2023-10-26 03:46:52,40.25,11.63,Afternoon,43.2,94.2,19.7,7.4,AC_L2
d61ca97b-504,Tesla Model Y,80.1,2023-12-12 16:56:33,2023-12-13 09:17:33,41.63,16.35,Afternoon,46.0,95.9,11.4,3.7,AC_L2
a87a4f50-6a5,BMW i3,42.9,2023-01-29 14:17:58,2023-01-29 23:20:58,27.86,9.05,Afternoon,35.0,97.1,9.9,10.3,AC_L2
8aaa8c41-2b5,Nissan Leaf,42.0,2023-02-18 08:35:31,2023-02-18 11:57:43,17.0,3.37,Morning,57.2,94.7,11.9,15.3,AC_L2
624c41cd-858,Ford Mustang Mach-E,73.7,2023-11-22 20:39:23,2023-11-22 21:45:59,42.71,1.11,Evening,21.9,75.4,5.1,5.6,DC_CCS
e5452429-c85,Nissan Leaf,45.5,2023-06-07 20:11:25,2023-06-07 20:55:49,24.95,0.74,Evening,31.0,79.8,21.0,13.9,DC_CHAdeMO
0f964c67-b38,Nissan Leaf,54.9,2023-05-25 20:04:44,2023-05-27 08:50:56,23.77,36.77,Evening,55.4,97.1,14.5,15.3,AC_L1
f01b96ca-435,Tesla Model S,95.8,2023-11-27 18:29:59,2023-11-27 19:33:35,49.34,1.06,Evening,31.6,77.0,13.3,13.6,DC_CCS
b2911187-9ce,Tesla Model Y,79.2,2023-01-20 14:02:23,2023-01-21 01:59:23,52.37,11.95,Afternoon,35.1,96.4,10.4,5.8,AC_L2
b241fe11-3f9,Ford Mustang Mach-E,85.8,2023-02-21 22:41:44,2023-02-22 12:56:44,39.8,14.25,Night,52.3,96.7,1.3,3.5,AC_L2
04664cc6-8f5,Nissan Leaf,47.6,2023-01-01 12:11:47,2023-01-01 18:38:47,20.49,6.45,Afternoon,45.7,85.6,10.3,13.9,AC_L2
63fb7ea6-c78,Tesla Model 3 LR,79.4,2023-12-25 05:41:40,2023-12-25 15:45:16,43.47,10.06,Night,48.4,99.7,2.6,7.3,AC_L2
7fc4af70-a9a,Chevy Bolt,65.5,2023-10-31 15:01:24,2023-10-31 16:28:24,53.01,1.45,Afternoon,19.5,91.5,19.9,7.3,DC_CCS
2f10bfcd-2f4,Rivian R1T,112.3,2023-01-24 20:55:34,2023-01-24 23:13:34,84.27,2.3,Evening,25.9,95.2,-1.1,2.6,DC_CCS
e7c2542d-37e,Tesla Model 3 LR,76.4,2023-02-03 06:15:22,2023-02-03 06:41:10,47.04,0.43,Morning,24.9,79.0,6.2,6.1,Tesla_SC
d0e82b5a-74e,Tesla Model 3 LR,77.7,2023-05-21 19:59:48,2023-05-21 21:02:12,45.24,1.04,Evening,25.3,78.5,18.5,8.2,DC_CCS
8ea598c2-c29,Tesla Model 3 LR,73.7,2023-02-21 19:55:26,2023-02-21 20:20:38,47.89,0.42,Evening,22.6,78.4,1.7,7.7,Tesla_SC
45e3cc3e-db8,Audi e-tron,96.9,2023-08-07 08:52:21,2023-08-07 11:05:33,83.11,2.22,Morning,21.2,98.5,29.1,6.8,DC_CCS
e97cf7cf-a85,Volkswagen ID.4,79.0,2023-08-20 15:18:18,2023-08-20 22:06:54,20.11,6.81,Afternoon,64.4,87.7,33.3,5.3,AC_L2
635fe839-f29,Ford Mustang Mach-E,84.0,2023-12-22 14:16:17,2023-12-23 01:18:41,32.67,11.04,Afternoon,62.0,98.1,12.1,3.2,AC_L2
22547c5e-478,Chevy Bolt,66.5,2023-05-05 13:40:07,2023-05-05 19:35:55,30.01,5.93,Afternoon,56.3,100.0,29.3,7.3,AC_L2
